NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.8,60,1,62,,,6097,1170.0
0.8,60,2,62,,,5969,1170.0
0.8,60,3,62,,,6141,1180.0
0.8,60,4,62,,,6130,1158.0
0.8,60,5,62,,,6108,1171.0
0.8,70,1,70,,,6871,1275.0
0.8,70,2,70,,,6957,1280.0
0.8,70,3,70,,,6943,1278.0
0.8,70,4,70,,,6987,1272.0
0.8,70,5,70,,,6957,1292.0
0.8,80,1,86,,,8501,1635.0
0.8,80,2,86,,,7338,1591.0
0.8,80,3,86,,,8250,1583.0
0.8,80,4,86,,,7076,1562.0
0.8,80,5,86,,,7999,1531.0
0.9,25,1,23,,,2102,803.0
0.9,25,2,23,,,2281,822.0
0.9,25,3,23,,,2259,825.0
0.9,25,4,23,,,2264,825.0
0.9,25,5,23,,,2245,828.0
0.9,30,1,32,,,3164,925.0
0.9,30,2,32,,,3203,937.0
0.9,30,3,33,,,3200,924.0
0.9,30,4,33,,,3250,941.0
0.9,30,5,33,,,3218,929.0
0.9,40,1,44,,,4359,1052.0
0.9,40,2,44,,,4365,1044.0
0.9,40,3,44,,,4213,1015.0
0.9,40,4,44,,,4274,1033.0
0.9,40,5,43,,,4216,1034.0
0.9,50,1,50,,,4860,1110.0
0.9,50,2,50,,,4963,1113.0
0.9,50,3,50,,,4944,1097.0
0.9,50,4,50,,,4910,1107.0
0.9,50,5,50,,,4917,1111.0
0.9,60,1,61,,,5736,1231.0
0.9,60,2,62,,,6197,1249.0
0.9,60,3,62,,,6113,1263.0
0.9,60,4,62,,,6146,1260.0
0.9,60,5,62,,,6064,1269.0
0.9,70,1,70,,,6914,1393.0
0.9,70,2,71,,,6627,1384.0
0.9,70,3,71,,,7061,1395.0
0.9,70,4,71,,,7076,1399.0
0.9,70,5,71,,,7039,1389.0
0.9,80,1,80,,,7330,1550.0
0.9,80,2,79,,,6562,1542.0
0.9,80,3,79,,,7256,1509.0
0.9,80,4,79,,,7314,1528.0
0.9,80,5,79,,,6885,1558.0
1.0,25,1,23,,,2190,879.0
1.0,25,2,22,,,2257,883.0
1.0,25,3,22,,,2135,857.0
1.0,25,4,22,,,2111,851.0
1.0,25,5,23,,,2247,879.0
1.0,30,1,31,,,3151,985.0
1.0,30,2,32,,,3153,988.0
1.0,30,3,33,,,3226,986.0
1.0,30,4,33,,,3316,1010.0
1.0,30,5,33,,,3303,1002.0
1.0,40,1,43,,,4194,1092.0
1.0,40,2,44,,,4271,1101.0
1.0,40,3,44,,,4239,1089.0
1.0,40,4,44,,,4185,1099.0
1.0,40,5,44,,,4197,1094.0
1.0,50,1,50,,,4801,1158.0
1.0,50,2,51,,,4925,1168.0
1.0,50,3,51,,,4838,1144.0
1.0,50,4,51,,,5061,1161.0
1.0,50,5,51,,,5053,1157.0
1.0,60,1,60,,,5556,1236.0
1.0,60,2,60,,,5870,1222.0
1.0,60,3,59,,,5741,1225.0
1.0,60,4,60,,,5805,1222.0
1.0,60,5,60,,,5775,1241.0
1.0,70,1,74,,,7297,1424.0
1.0,70,2,74,,,7372,1453.0
1.0,70,3,74,,,7372,1450.0
1.0,70,4,74,,,7372,1456.0
1.0,70,5,74,,,7256,1457.0
1.0,80,1,84,,,7363,1589.0
1.0,80,2,84,,,8331,1639.0
1.0,80,3,84,,,8355,1616.0
1.0,80,4,84,,,8262,1623.0
1.0,80,5,84,,,8391,1617.0
1.1,25,1,23,,,2211,926.0
1.1,25,2,22,,,2166,873.0
1.1,25,3,23,,,2283,929.0
1.1,25,4,23,,,2288,923.0
1.1,25,5,23,,,2266,940.0
1.1,30,1,32,,,3096,1029.0
1.1,30,2,33,,,3263,1032.0
1.1,30,3,33,,,3266,1038.0
1.1,30,4,34,,,3311,1035.0
1.1,30,5,34,,,3169,1038.0
1.1,40,1,42,,,3933,1129.0
1.1,40,2,43,,,4036,1150.0
1.1,40,3,42,,,4223,1142.0
1.1,40,4,42,,,4188,1144.0
1.1,40,5,43,,,3987,1137.0
1.1,50,1,51,,,5057,1185.0
1.1,50,2,51,,,5022,1214.0
1.1,50,3,51,,,5041,1201.0
1.1,50,4,51,,,5026,1185.0
1.1,50,5,51,,,5041,1206.0
1.1,60,1,60,,,5756,1262.0
1.1,60,2,60,,,5953,1259.0
1.1,60,3,60,,,5958,1282.0
1.1,60,4,60,,,6021,1257.0
1.1,60,5,60,,,5901,1264.0
1.1,70,1,69,,,6843,1385.0
1.1,70,2,69,,,6815,1394.0
1.1,70,3,69,,,6836,1376.0
1.1,70,4,69,,,6864,1417.0
1.1,70,5,69,,,6829,1419.0
1.1,80,1,79,,,7749,1593.0
1.1,80,2,79,,,7876,1592.0
1.1,80,3,79,,,8009,1570.0
1.1,80,4,79,,,7988,1583.0
1.1,80,5,79,,,7988,1563.0
1.2,25,1,24,,,2415,980.0
1.2,25,2,24,,,2393,974.0
1.2,25,3,24,,,2410,974.0
1.2,25,4,24,,,2401,993.0
1.2,25,5,24,,,2391,983.0
1.2,30,1,32,,,3187,1057.0
1.2,30,2,33,,,3316,1067.0
1.2,30,3,33,,,3335,1088.0
1.2,30,4,34,,,3319,1093.0
1.2,30,5,34,,,3407,1090.0
1.2,40,1,40,,,3984,1122.0
1.2,40,2,40,,,4045,1128.0
1.2,40,3,40,,,3845,1139.0
1.2,40,4,41,,,4141,1162.0
