EC_M01,EC_M02,EC_M03,EC_25C_M01,EC_25C_M02,EC_25C_M03,Temp_M01_C,Temp_M02_C,Temp_M03_C,Mercury_Temp,EC_TrueTemp_M01,EC_TrueTemp_M02,EC_TrueTemp_M03,Temp_Error_M01,Temp_Error_M02,Temp_Error_M03
419.0,1289.0,1213.0,246.4705882352941,758.235294117647,713.5294117647059,60.69,59.55,63.47,60.0,14788.235294117645,45494.11764705882,42811.76470588235,0.6899999999999977,-0.45000000000000284,3.469999999999999
361.0,1058.0,1088.0,328.18181818181813,961.8181818181818,989.090909090909,29.68,29.74,33.35,30.0,9845.454545454544,28854.545454545452,29672.727272727272,-0.3200000000000003,-0.26000000000000156,3.3500000000000014
,1383.0,,,691.5,,,73.55,,75.0,,51862.5,,,-1.4500000000000028,
196.0,712.0,795.0,93.33333333333333,339.04761904761904,378.57142857142856,81.42,80.95,79.88,80.0,7466.666666666666,27123.809523809523,30285.714285714283,1.4200000000000017,0.9500000000000028,-0.12000000000000455
406.0,1203.0,1257.0,312.3076923076923,925.3846153846154,966.9230769230769,39.87,39.33,38.5,40.0,12492.307692307693,37015.38461538462,38676.92307692308,-0.13000000000000256,-0.6700000000000017,-1.5
305.0,116.0,,305.0,116.0,,24.34,24.23,,25.0,7625.0,2900.0,,-0.6600000000000001,-0.7699999999999996,
423.0,1222.0,1232.0,325.38461538461536,940.0,947.6923076923076,39.51,38.89,39.78,40.0,13015.384615384613,37600.0,37907.692307692305,-0.490000000000002,-1.1099999999999994,-0.21999999999999886
,1256.0,,,730.232558139535,,,43.82,,61.0,,44544.18604651163,,,-17.18,
,1201.0,,,667.2222222222222,,,62.14,,65.0,,43369.44444444444,,,-2.8599999999999994,
444.0,1292.0,1311.0,261.17647058823525,759.9999999999999,771.1764705882352,61.35,58.8,58.91,60.0,15670.588235294115,45599.99999999999,46270.58823529411,1.3500000000000014,-1.2000000000000028,-1.0900000000000034
,1110.0,,,740.0,,,48.6,,50.0,,37000.0,,,-1.3999999999999986,
427.0,1294.0,1274.0,251.17647058823528,761.1764705882352,749.4117647058823,60.86,61.74,48.23,60.0,15070.588235294117,45670.58823529411,44964.70588235294,0.8599999999999994,1.740000000000002,-11.770000000000003
,1204.0,,,912.1212121212121,,,38.68,,41.0,,37396.969696969696,,,-2.3200000000000003,
193.0,640.0,544.0,101.57894736842105,336.8421052631579,286.3157894736842,71.0,69.78,64.19,70.0,7110.526315789474,23578.947368421053,20042.105263157897,1.0,-0.21999999999999886,-5.810000000000002
,1292.0,,,680.0,,,69.57,,70.0,,47600.0,,,-0.4300000000000068,
,1075.0,,,698.051948051948,,,51.62,,52.0,,36298.70129870129,,,-0.38000000000000256,
,1393.0,,,733.1578947368422,,,69.14,,70.0,,51321.052631578954,,,-0.8599999999999994,
430.0,1266.0,1185.0,286.6666666666667,844.0,790.0,49.32,49.48,53.55,50.0,14333.333333333334,42200.0,39500.0,-0.6799999999999997,-0.5200000000000031,3.549999999999997
,1202.0,,,770.5128205128204,,,49.36,,53.0,,40837.179487179485,,,-3.6400000000000006,
82.0,89.0,,74.54545454545453,80.9090909090909,,30.2,29.71,,30.0,2236.363636363636,2427.272727272727,,0.1999999999999993,-0.28999999999999915,
116.0,335.0,341.0,116.0,335.0,341.0,20.52,23.12,26.11,25.0,2900.0,8375.0,8525.0,-4.48,-1.879999999999999,1.1099999999999994
415.0,1375.0,1542.0,197.61904761904762,654.7619047619047,734.2857142857142,81.5,80.95,65.62,80.0,15809.52380952381,52380.952380952374,58742.85714285714,1.5,0.9500000000000028,-14.379999999999995
468.0,532.0,,477.55102040816325,542.8571428571429,,23.91,24.61,,24.0,11461.224489795917,13028.57142857143,,-0.08999999999999986,0.6099999999999994,
575.0,519.0,,513.3928571428571,463.3928571428571,,30.5,30.27,,31.0,15915.17857142857,14365.17857142857,,-0.5,-0.7300000000000004,
,1071.0,,,704.6052631578947,,,50.89,,51.0,,35934.868421052626,,,-0.10999999999999943,
